id,species,n.counted,n.measured,n.total
47934,9,0,14,14
47934,28,0,47,47
47931,1,0,2,2
47931,5,0,10,10
47931,9,0,1,1
47931,60,0,11,11
47932,5,1352,148,1500
47933,1,0,7,7
47933,2,0,70,70
47933,3,0,1,1
47905,12,0,25,25
47905,23,0,38,38
47905,28,70,35,105
47906,2,0,63,63
47906,12,0,47,47
47906,23,0,41,41
47907,2,775,90,865
47907,23,69,58,127
47905,2,0,267,267
47905,5,0,56,56
47903,60,0,168,168
47904,2,412,407,819
47904,3,0,1,1
48682,1,0,18,18
48682,2,0,34,34
48682,9,0,22,22
48682,23,0,3,3
47956,3,0,38,38
47956,5,175,191,366
47956,9,0,11,11
47956,12,0,2,2
47956,60,36,56,92
47957,1,0,35,35
47957,3,0,1,1
47955,1,0,1,1
47955,3,0,1,1
47955,5,12,69,81
47955,12,0,5,5
47955,28,156,163,319
47955,60,63,57,120
47952,1,0,4,4
47952,2,0,175,175
47952,9,0,1,1
47952,23,0,1,1
47952,60,1820,168,1988
47953,2,0,195,195
47953,5,0,44,44
47953,28,0,11,11
47954,1,0,6,6
47954,9,0,42,42
47949,28,0,4,4
47950,2,0,6,6
47950,3,0,4,4
47950,12,34,27,61
47950,23,51,3,54
47950,28,24,7,31
47951,1,0,1,1
47951,5,0,2,2
47951,9,0,6,6
47949,2,57,64,121
47949,5,0,6,6
47949,9,0,18,18
47949,12,55,18,73
47948,12,0,5,5
47946,60,0,136,136
47947,1,0,1,1
47947,2,0,123,123
47947,5,0,3,3
47947,28,0,202,202
47948,1,0,24,24
47948,2,0,179,179
47948,5,0,41,41
47904,9,0,7,7
47904,23,0,1,1
47879,28,0,25,25
47877,1,0,2,2
47877,2,115,15,130
47877,5,1679,473,2152
47875,28,0,8,8
47875,60,1443,91,1534
47876,1,0,32,32
47876,2,0,334,334
47876,60,0,179,179
47875,1,0,30,30
47875,5,2737,174,2911
47875,12,0,3,3
47874,9,0,1,1
47872,60,0,175,175
47873,1,0,6,6
47873,2,0,29,29
47873,5,835,283,1118
47873,60,0,45,45
47874,5,917,63,980
47871,9,0,2,2
47871,28,0,22,22
47872,1,0,46,46
47872,5,930,225,1155
47872,28,0,120,120
47871,1,0,5,5
47871,2,0,25,25
47871,5,15,135,150
47869,60,76,79,155
47870,2,0,10,10
47870,3,0,4,4
47870,9,0,2,2
47869,2,0,46,46
47869,5,93,98,191
48679,28,0,214,214
48680,1,0,36,36
48680,5,0,89,89
48680,23,0,1,1
47886,60,0,10,10
47887,1,0,11,11
47885,28,0,97,97
47886,2,0,469,469
47884,5,0,195,195
47884,9,0,3,3
47884,12,0,8,8
47884,28,0,81,81
47884,60,0,48,48
47885,2,0,72,72
47885,9,0,9,9
47883,1,0,16,16
47883,2,0,58,58
47883,12,0,8,8
47883,60,0,170,170
47884,1,0,16,16
47882,1,0,27,27
47882,2,0,49,49
47882,3,0,1,1
47882,5,0,142,142
47882,12,0,7,7
47881,3,0,21,21
47881,9,0,6,6
47881,28,0,45,45
47881,60,25,32,57
47880,2,0,12,12
47880,3,0,2,2
47880,5,203,117,320
47880,9,0,2,2
47880,60,0,5,5
47881,1,0,7,7
47881,2,0,13,13
47877,9,0,8,8
47877,60,0,37,37
47945,1,0,3,3
47869,9,0,7,7
47869,12,0,2,2
47869,28,0,25,25
47878,5,0,85,85
47878,9,0,3,3
47878,60,0,6,6
47879,1,0,8,8
47879,5,501,191,692
47866,60,0,8,8
47867,1,0,10,10
47867,2,0,22,22
47867,3,0,3,3
47867,5,0,186,186
47867,60,0,63,63
47868,1,0,8,8
47868,2,0,4,4
47868,9,0,19,19
47868,28,0,30,30
47868,60,0,42,42
47864,60,71,10,81
47865,3,0,3,3
47865,5,0,129,129
47865,12,0,1,1
47865,28,0,28,28
47865,60,0,95,95
47866,1,0,5,5
47866,2,0,48,48
47866,5,0,85,85
47863,28,0,11,11
47864,1,0,6,6
47864,2,0,22,22
47864,9,0,6,6
47864,12,0,2,2
47863,1,0,7,7
47863,2,0,20,20
47863,9,0,9,9
47863,12,0,4,4
47861,5,0,159,159
47861,9,0,1,1
47861,12,0,5,5
47861,60,0,75,75
47862,3,0,22,22
47862,5,3391,320,3711
47862,9,0,6,6
47862,28,0,8,8
47858,28,0,5,5
47858,60,0,16,16
47859,1,0,43,43
47859,5,1960,293,2253
47859,12,0,4,4
47859,28,0,5,5
47859,60,0,6,6
47860,5,0,29,29
47860,60,0,54,54
48668,28,0,60,60
48669,1,0,191,191
48665,1,0,168,168
48665,2,0,27,27
48665,12,0,56,56
48666,2,0,125,125
48666,5,0,69,69
48666,12,0,52,52
48667,1,0,76,76
48667,9,0,2,2
48667,12,0,30,30
48664,23,0,1,1
48662,60,0,1,1
48663,2,171,139,310
48663,5,107,257,364
48663,9,0,66,66
48663,28,0,22,22
48664,1,0,302,302
48664,2,0,181,181
48664,9,0,74,74
48664,12,0,45,45
48662,2,0,26,26
48662,12,0,56,56
48659,5,0,4,4
48659,12,0,8,8
48660,5,0,1,1
48660,12,0,19,19
48661,5,0,263,263
48661,12,0,80,80
48657,1,0,14,14
48657,5,0,173,173
48657,12,0,3,3
48657,28,0,44,44
48107,1,0,62,62
48106,9,0,94,94
48106,12,0,100,100
48106,28,0,179,179
48107,12,0,69,69
48107,28,865,285,1150
48108,2,0,61,61
48108,9,0,2,2
48103,23,0,2,2
48103,28,0,70,70
48104,1,0,146,146
48104,5,0,1,1
48106,2,0,410,410
48103,12,0,10,10
48101,9,0,152,152
47858,3,0,7,7
47858,5,0,125,125
47858,9,0,5,5
47858,12,0,3,3
47856,60,0,76,76
47857,2,0,10,10
47857,5,0,70,70
47857,60,0,12,12
47858,1,0,20,20
47855,12,0,1,1
47855,28,0,8,8
47855,60,0,78,78
47856,1,0,53,53
47856,5,166,164,330
47853,5,0,109,109
47853,12,0,1,1
47854,2,0,83,83
47854,5,414,145,559
47854,12,0,3,3
47854,28,214,107,321
47855,1,0,38,38
47855,2,0,3,3
47855,5,0,42,42
47853,2,0,69,69
47853,3,0,1,1
47851,28,67,72,139
47851,60,0,6,6
47852,2,0,58,58
47852,3,0,7,7
47852,9,0,3,3
47852,12,0,1,1
47852,28,0,29,29
47852,60,0,1,1
47853,1,0,38,38
47850,60,0,20,20
47851,2,0,259,259
47851,3,0,14,14
47851,9,0,2,2
47850,5,84,102,186
47850,28,150,100,250
47849,3,0,18,18
47849,5,433,176,609
47849,12,0,1,1
47850,1,0,113,113
48658,1,0,20,20
48658,5,0,91,91
48658,28,0,62,62
48656,12,0,15,15
48656,28,0,46,46
48403,12,0,10,10
48403,28,0,30,30
48401,23,0,3,3
48402,1,0,229,229
48401,1,0,150,150
48401,3,0,3,3
48401,5,103,180,283
48401,9,0,26,26
48399,60,0,7,7
48400,2,0,4,4
48400,9,0,2,2
48400,60,0,4,4
48398,5,158,243,401
48398,9,0,31,31
48398,23,0,1,1
48398,28,0,81,81
48398,60,0,7,7
48399,1,0,43,43
48399,3,0,6,6
48399,5,0,187,187
48399,12,0,30,30
48397,9,0,24,24
48397,23,0,10,10
48396,9,0,33,33
48396,28,0,71,71
48397,1,264,246,510
48397,2,0,159,159
48395,12,0,6,6
48395,28,0,61,61
48396,1,0,88,88
48393,1,0,15,15
48101,28,0,122,122
48102,2,0,318,318
48102,9,0,14,14
48102,12,0,11,11
48102,28,0,68,68
48103,2,5800,505,6305
48103,5,0,86,86
48101,2,599,269,868
48100,5,0,4,4
48100,9,0,21,21
48098,2,0,171,171
48098,23,0,5,5
48098,28,755,157,912
48099,2,0,67,67
48099,5,0,1,1
48099,23,0,1,1
48095,23,0,4,4
48096,9,0,2,2
48096,23,0,16,16
48097,23,0,5,5
48097,28,508,127,635
48095,1,0,30,30
48095,5,122,194,316
48095,9,0,1,1
48093,12,0,17,17
48093,28,173,158,331
48094,1,154,451,605
48094,5,0,53,53
48094,12,0,10,10
48092,12,0,5,5
48092,28,178,161,339
48093,1,0,22,22
48093,5,0,12,12
48093,9,0,4,4
48090,1,0,64,64
48090,5,0,231,231
48090,12,0,10,10
48090,28,20,129,149
47850,2,0,104,104
47850,3,0,3,3
47847,28,43,43,86
47848,1,0,18,18
47848,5,0,102,102
47848,12,0,2,2
47848,28,49,49,98
47847,5,758,121,879
47847,9,0,9,9
47847,12,0,4,4
47846,5,452,114,566
47846,9,0,39,39
47846,12,0,4,4
47847,1,0,33,33
47847,2,0,313,313
47845,5,160,19,179
47845,12,0,2,2
47845,23,0,1,1
47845,28,0,26,26
47845,60,1372,169,1541
47846,2,673,247,920
47846,3,0,3,3
47844,23,284,33,317
47844,60,418,79,497
47845,2,0,221,221
47843,5,0,6,6
47843,12,4,1,5
47843,60,0,55,55
47844,1,0,15,15
47844,5,48,9,57
47841,23,0,2,2
47842,1,0,14,14
47842,2,0,5045,5045
47842,3,0,1,1
47842,9,0,7,7
47843,1,0,18,18
47841,2,0,132,132
47841,3,0,6,6
47841,9,0,1,1
47841,12,0,1,1
48393,5,0,82,82
48393,23,0,12,12
48394,1,0,28,28
48394,2,0,190,190
48394,5,0,54,54
48394,12,0,2,2
48655,28,0,38,38
48656,1,0,49,49
48656,2,0,1,1
48654,1,0,279,279
48654,12,0,9,9
48654,28,0,174,174
48655,1,0,212,212
48655,2,0,196,196
48655,9,0,8,8
48651,9,0,78,78
48651,28,0,42,42
48652,2,0,2,2
48652,5,0,59,59
48652,9,0,44,44
48652,28,0,101,101
48653,1,0,223,223
48653,5,0,140,140
48653,9,0,37,37
48653,12,0,15,15
48650,9,0,35,35
48650,12,0,25,25
48651,1,0,210,210
48649,2,0,4,4
48649,9,0,67,67
48649,28,0,47,47
48650,1,0,67,67
48650,2,0,5,5
48647,9,0,108,108
48647,23,0,1,1
48647,28,0,29,29
48648,2,0,2,2
48648,12,0,69,69
48645,2,55,144,199
48645,12,0,33,33
48645,28,0,120,120
48646,1,0,197,197
48646,5,0,112,112
48091,1,0,49,49
48091,9,0,53,53
48091,12,0,4,4
48091,28,0,146,146
48092,1,0,34,34
48092,5,0,183,183
48089,28,0,32,32
48089,1,0,47,47
48089,2,0,22,22
48089,9,0,186,186
48089,12,0,4,4
48088,5,0,99,99
48088,9,0,19,19
48088,12,0,20,20
48087,1,0,69,69
48087,2,0,2,2
48087,5,0,170,170
48087,9,0,48,48
48085,5,0,151,151
48085,12,0,15,15
48085,28,0,89,89
48086,1,0,52,52
48086,5,470,256,726
48086,28,0,64,64
48083,28,518,218,736
48084,1,0,124,124
48084,2,0,7,7
48084,5,196,178,374
48084,9,0,119,119
48084,28,42,137,179
48083,9,0,11,11
48082,1,0,117,117
48082,5,0,38,38
48082,12,0,15,15
48082,28,982,167,1149
47840,2,0,48,48
47840,5,0,77,77
47840,12,0,2,2
47838,60,0,136,136
47839,1,0,107,107
47839,5,0,56,56
47839,28,0,29,29
47839,60,0,27,27
47838,1,0,44,44
47838,2,0,16,16
47838,3,0,4,4
47838,5,0,180,180
47838,9,0,4,4
47838,12,0,1,1
47838,28,0,12,12
47837,2,0,4,4
47837,3,0,10,10
47835,28,0,30,30
47835,60,8,17,25
47836,1,0,77,77
47836,3,0,6,6
47836,5,188,140,328
47836,12,0,3,3
47836,28,0,12,12
47835,2,0,20,20
47835,5,51,129,180
47835,9,0,1,1
47833,2,0,6,6
47833,12,0,1,1
47833,28,0,49,49
47833,60,61,21,82
47834,1,0,46,46
47834,2,0,56,56
47834,5,0,94,94
47834,12,0,2,2
47834,28,0,110,110
47833,1,0,131,131
48646,9,0,90,90
48646,28,0,52,52
48647,1,0,187,187
48644,9,0,25,25
48643,1,0,211,211
48643,5,0,139,139
48643,12,0,4,4
48643,28,0,99,99
48644,1,0,139,139
48644,2,0,181,181
48642,1,0,307,307
48642,2,0,51,51
48642,3,0,1,1
48642,9,0,33,33
48641,1,0,104,104
48641,2,0,67,67
48641,12,0,4,4
48641,28,0,92,92
48638,1,0,1,1
48638,9,0,10,10
48639,1,0,208,208
48639,5,0,1,1
48639,9,0,2,2
48639,28,0,3,3
48640,2,0,82,82
48640,3,0,2,2
48640,9,0,50,50
48640,12,0,2,2
48635,28,0,41,41
48636,5,0,39,39
48636,9,0,81,81
48636,28,0,62,62
48637,1,0,252,252
48637,2,0,1,1
48637,9,0,27,27
48637,12,0,2,2
48637,28,0,16,16
48635,2,0,3,3
48635,3,0,1,1
48635,5,242,108,350
48635,12,0,13,13
48635,23,0,6,6
48633,23,0,1,1
48633,28,0,5,5
48634,2,0,8,8
48634,5,412,166,578
48634,12,0,3,3
48634,28,0,10,10
48632,2,0,81,81
48632,5,0,40,40
48632,9,0,1,1
48632,28,0,133,133
48633,1,0,139,139
48081,1,0,45,45
48081,9,0,25,25
48081,12,0,7,7
48079,1,0,4,4
48079,9,0,1,1
48079,12,0,14,14
48080,1,0,20,20
48080,5,0,284,284
48080,12,0,2,2
48078,1,0,20,20
48077,12,0,34,34
48076,1,0,31,31
48076,5,0,104,104
48076,12,0,41,41
48077,1,0,27,27
48075,5,0,92,92
48075,12,0,18,18
48075,28,0,13,13
48073,9,0,105,105
48072,1,485,319,804
48072,3,0,3,3
48072,9,0,64,64
48072,12,0,3,3
48073,1,367,245,612
48073,3,0,2,2
48070,28,0,67,67
48071,1,0,126,126
48071,5,0,44,44
48071,12,0,13,13
47831,60,0,119,119
47832,3,0,1,1
47832,5,68,103,171
47832,60,82,119,201
47831,1,0,20,20
47830,12,0,1,1
47830,28,0,51,51
47829,5,111,86,197
47829,9,0,1,1
47829,12,0,2,2
47829,60,93,71,164
47830,3,0,1,1
48222,12,0,5,5
48222,23,0,47,47
48222,28,0,27,27
48223,1,0,71,71
48221,9,0,82,82
48221,12,0,1,1
48221,28,0,56,56
48221,60,0,7,7
48222,1,0,68,68
48222,2,0,38,38
48222,3,0,1,1
48222,9,0,100,100
48223,3,0,2,2
48223,5,193,260,453
48223,12,0,7,7
48219,28,0,121,121
48220,1,0,24,24
48220,2,0,102,102
48220,9,0,74,74
48220,12,0,3,3
48220,28,0,38,38
48221,1,0,33,33
48221,3,0,1,1
48219,2,0,280,280
48219,5,171,177,348
48219,12,0,3,3
48218,2,0,122,122
48218,5,300,186,486
48633,2,0,6,6
48633,5,257,192,449
48633,9,0,320,320
48069,9,0,17,17
48069,28,0,36,36
48070,5,0,113,113
48070,12,0,6,6
48067,9,0,9,9
48068,1,0,41,41
48068,5,136,165,301
48068,9,0,29,29
48068,28,65,87,152
48069,1,0,37,37
48069,2,0,1,1
48069,5,0,7,7
48065,28,350,165,515
48066,2,0,3,3
48066,9,0,98,98
48066,28,0,138,138
48067,2,0,1,1
48067,5,0,231,231
48064,28,151,212,363
48065,1,0,26,26
48065,9,0,17,17
48065,12,0,30,30
48063,9,0,6,6
48063,28,281,109,390
48064,5,0,25,25
48064,12,0,35,35
48062,1,0,140,140
48062,5,0,214,214
48062,9,0,94,94
48062,28,55,53,108
48063,1,0,357,357
48060,3,0,1,1
48060,5,350,247,597
48060,12,0,8,8
48060,28,0,93,93
48061,1,224,372,596
48061,3,0,2,2
48061,9,0,6,6
48061,28,75,124,199
48060,1,0,21,21
48218,28,0,113,113
48216,28,0,46,46
48217,1,0,4,4
48217,5,1622,222,1844
48217,9,0,15,15
48217,12,0,5,5
48217,28,0,40,40
48215,2,0,88,88
48215,5,332,216,548
48215,9,0,112,112
48215,12,0,24,24
48215,28,0,35,35
48216,2,0,117,117
48216,9,0,82,82
48214,9,0,12,12
48214,12,0,3,3
48212,28,0,12,12
48213,1,0,9,9
48213,3,0,42,42
48213,5,780,274,1054
48213,12,0,5,5
48214,1,0,4,4
48214,2,0,7,7
48212,2,0,6,6
48212,3,0,9,9
48212,12,0,2,2
48209,5,179,215,394
48209,9,0,42,42
48209,12,0,3,3
48209,28,0,46,46
48210,2,0,37,37
48210,5,64,254,318
48210,12,0,5,5
48210,23,0,2,2
48211,5,335,205,540
48211,9,0,16,16
48209,2,0,76,76
48207,23,1414,248,1662
48207,28,0,59,59
48208,2,0,473,473
48497,5,0,208,208
48497,9,0,67,67
48497,23,0,11,11
48495,12,0,9,9
48495,23,0,3,3
